1
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
11
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,WINNING METHOD,J Moreira,C S Shum,127,1202,2,-,3 1 1,0:56.74,1,
2,7,U W BROTHER,K C Leung,Y S Tsui,120,1126,7,4-1/2,2 3 2,0:57.48,33,
3,4,G UNIT,Z Purton,J Moore,120,1029,6,4-3/4,1 2 3,0:57.51,6.1,
4,2,TARGET FINDER,N Callan,C W Chang,129,1050,3,6-1/4,6 5 4,0:57.74,51,
5,6,TANG TREASURE,A Sanna,D E Ferraris,120,1046,4,7-1/2,4 4 5,0:57.95,68,
6,1,LEGENDARY HERO,K Teetan,P O'Sullivan,129,1062,1,13-1/2,5 6 6,0:58.90,49,
7,5,JOY AVENUE,G van Niekerk,C H Yip,120,1159,5,20-1/2,7 7 7,1:00.02,30,
