1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,12,JIMSON THE FAMOUS,K Teetan,C H Yip,116,1055,5,-,10 5 1,1:09.28,6.6,
2,10,SUNNY ORIENT,G van Niekerk,T P Yung,118,1145,10,2-3/4,12 11 2,1:09.72,9.9,
3,7,ROCHFORD,J Moreira,L Ho,124,1196,4,2-3/4,2 2 3,1:09.72,2.3,
4,8,RUMINARE,A Badel,R Gibson,122,1146,11,4-1/4,11 7 4,1:09.97,21,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,12,JIMSON THE FAMOUS,K Teetan,C H Yip,116,1055,5,-,10 5 1,1:09.28,6.6,
2,10,SUNNY ORIENT,G van Niekerk,T P Yung,118,1145,10,2-3/4,12 11 2,1:09.72,9.9,
3,7,ROCHFORD,J Moreira,L Ho,124,1196,4,2-3/4,2 2 3,1:09.72,2.3,
4,8,RUMINARE,A Badel,R Gibson,122,1146,11,4-1/4,11 7 4,1:09.97,21,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,12,JIMSON THE FAMOUS,K Teetan,C H Yip,116,1055,5,-,10 5 1,1:09.28,6.6,
2,10,SUNNY ORIENT,G van Niekerk,T P Yung,118,1145,10,2-3/4,12 11 2,1:09.72,9.9,
3,7,ROCHFORD,J Moreira,L Ho,124,1196,4,2-3/4,2 2 3,1:09.72,2.3,
4,8,RUMINARE,A Badel,R Gibson,122,1146,11,4-1/4,11 7 4,1:09.97,21,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,12,JIMSON THE FAMOUS,K Teetan,C H Yip,116,1055,5,-,10 5 1,1:09.28,6.6,
2,10,SUNNY ORIENT,G van Niekerk,T P Yung,118,1145,10,2-3/4,12 11 2,1:09.72,9.9,
3,7,ROCHFORD,J Moreira,L Ho,124,1196,4,2-3/4,2 2 3,1:09.72,2.3,
4,8,RUMINARE,A Badel,R Gibson,122,1146,11,4-1/4,11 7 4,1:09.97,21,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,12,JIMSON THE FAMOUS,K Teetan,C H Yip,116,1055,5,-,10 5 1,1:09.28,6.6,
2,10,SUNNY ORIENT,G van Niekerk,T P Yung,118,1145,10,2-3/4,12 11 2,1:09.72,9.9,
3,7,ROCHFORD,J Moreira,L Ho,124,1196,4,2-3/4,2 2 3,1:09.72,2.3,
4,8,RUMINARE,A Badel,R Gibson,122,1146,11,4-1/4,11 7 4,1:09.97,21,
5,3,MASSIVE MOVE,M F Poon,L Ho,128,1096,6,5-1/4,7 10 5,1:10.14,16,
6,2,RAICHU,Z Purton,D E Ferraris,132,1029,8,6,8 9 6,1:10.23,16,
7,5,HAPPY SOUND,C Murray,C Fownes,128,1145,1,6-1/4,5 3 7,1:10.30,18,
8,9,SCARBOROUGH FAIR,M Chadwick,R Gibson,121,1149,7,6-1/2,1 1 8,1:10.32,9.8,
9,4,KEEP GOING,M L Yeung,Y S Tsui,128,1032,2,10,6 8 9,1:10.88,18,
10,6,LUCKY COIN,S Clipperton,K L Man,126,1017,9,10-1/4,4 6 10,1:10.91,32,
11,11,HAPPY OUT THERE,W M Lai,C W Chang,116,1107,12,11,9 12 11,1:11.06,103,
12,1,MONEY MARSHAL,C Wong,P O'Sullivan,126,1138,3,14-1/4,3 4 12,1:11.58,8.7,
