1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,TOP ACE,C Murray,A T Millard,126,1160,12,-,10 12 11 8 1,1:48.99,8.1,
2,12,CLEMENT LEGEND,A Sanna,C S Shum,118,1109,7,1-3/4,8 7 6 5 2,1:49.28,13,
3,2,CHIU CHOW KID,Z Purton,T P Yung,132,1163,6,3-3/4,4 3 2 2 3,1:49.59,2.5,
4,10,DAZZLE WINNER,M F Poon,Y S Tsui,116,1159,4,5,1 2 3 3 4,1:49.80,13,
5,4,THE INVINCIBLE,C Schofield,W Y So,127,1062,11,5-1/2,3 1 1 1 5,1:49.87,11,
6,7,SWEET BEAN,K Teetan,C Fownes,125,1021,2,5-1/2,11 8 9 10 6,1:49.88,29,
7,11,TRIUMPH,W M Lai,C W Chang,120,1124,9,6,9 10 10 11 7,1:49.95,89,
8,3,PROUD SKY,M L Yeung,L Ho,125,1066,1,7-1/4,6 6 7 9 8,1:50.15,4.6,
9,5,WONDERFUL CHASER,C Y Ho,K W Lui,125,1171,8,9,7 9 8 6 9,1:50.41,7.2,
10,9,ROCKET GO,H N Wong,K L Man,119,1171,3,9-3/4,2 4 5 7 10,1:50.53,167,
11,8,ROCK THE TREE,U Rispoli,D E Ferraris,122,1015,10,10,12 11 12 12 11,1:50.60,30,
12,1,HORSE BULLET,K C Leung,Y S Tsui,133,1052,5,11-1/2,5 5 4 4 12,1:50.83,49,
