1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
5,4,CHAMPION PRIDE,K H Chan,F C Lor,117,1254,7,3-1/4,9 6 5,0:56.36,8.3,
6,11,THE ABRAXAS,K C Ng,Y S Tsui,113,1196,10,3-1/2,7 8 6,0:56.42,158,
7,7,BRIGHT KID,C Schofield,W Y So,118,1145,9,3-1/2,11 11 7,0:56.42,14,
8,2,ORIONIDS,R Bayliss,W Y So,131,1249,3,5-1/2,8 9 8,0:56.73,46,
9,9,PRINCE HARMONY,H N Wong,W Y So,115,1143,1,6-1/4,4 7 9,0:56.85,120,
10,5,BRAVERY AND POWER,M Harley,D E Ferraris,125,1042,2,6-3/4,10 10 10,0:56.92,133,
11,3,BEAUTY CHARISMA,Z Purton,J Moore,128,1083,4,12-1/4,1 4 11,0:57.82,3.8,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,GOKO,J Moreira,C H Yip,118,1295,6,-,6 1 1,0:55.85,2,
2,10,CALIFORNIA GUNGHO,K Teetan,A S Cruz,117,1121,11,3/4,5 5 2,0:55.97,7.6,
3,6,HEALTHY LUCK,U Rispoli,K L Man,120,1042,5,1,3 3 3,0:56.02,27,
4,1,CHEERFULJET,C Y Ho,C Fownes,131,1103,8,2-3/4,2 2 4,0:56.29,15,
5,4,CHAMPION PRIDE,K H Chan,F C Lor,117,1254,7,3-1/4,9 6 5,0:56.36,8.3,
6,11,THE ABRAXAS,K C Ng,Y S Tsui,113,1196,10,3-1/2,7 8 6,0:56.42,158,
7,7,BRIGHT KID,C Schofield,W Y So,118,1145,9,3-1/2,11 11 7,0:56.42,14,
8,2,ORIONIDS,R Bayliss,W Y So,131,1249,3,5-1/2,8 9 8,0:56.73,46,
9,9,PRINCE HARMONY,H N Wong,W Y So,115,1143,1,6-1/4,4 7 9,0:56.85,120,
10,5,BRAVERY AND POWER,M Harley,D E Ferraris,125,1042,2,6-3/4,10 10 10,0:56.92,133,
11,3,BEAUTY CHARISMA,Z Purton,J Moore,128,1083,4,12-1/4,1 4 11,0:57.82,3.8,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,GOKO,J Moreira,C H Yip,118,1295,6,-,6 1 1,0:55.85,2,
2,10,CALIFORNIA GUNGHO,K Teetan,A S Cruz,117,1121,11,3/4,5 5 2,0:55.97,7.6,
3,6,HEALTHY LUCK,U Rispoli,K L Man,120,1042,5,1,3 3 3,0:56.02,27,
4,1,CHEERFULJET,C Y Ho,C Fownes,131,1103,8,2-3/4,2 2 4,0:56.29,15,
5,4,CHAMPION PRIDE,K H Chan,F C Lor,117,1254,7,3-1/4,9 6 5,0:56.36,8.3,
6,11,THE ABRAXAS,K C Ng,Y S Tsui,113,1196,10,3-1/2,7 8 6,0:56.42,158,
7,7,BRIGHT KID,C Schofield,W Y So,118,1145,9,3-1/2,11 11 7,0:56.42,14,
8,2,ORIONIDS,R Bayliss,W Y So,131,1249,3,5-1/2,8 9 8,0:56.73,46,
9,9,PRINCE HARMONY,H N Wong,W Y So,115,1143,1,6-1/4,4 7 9,0:56.85,120,
10,5,BRAVERY AND POWER,M Harley,D E Ferraris,125,1042,2,6-3/4,10 10 10,0:56.92,133,
11,3,BEAUTY CHARISMA,Z Purton,J Moore,128,1083,4,12-1/4,1 4 11,0:57.82,3.8,
