1
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
11
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,WINNING METHOD,J Moreira,C S Shum,120,1197,5,-,1 1 1,0:56.64,1.1,
2,7,JUDY'S STAR,K C Leung,P O'Sullivan,120,1125,3,3-1/4,7 6 2,0:57.17,11,
3,5,G UNIT,C Y Ho,J Moore,120,1049,2,4-3/4,2 2 3,0:57.40,42,
4,3,TARGET FINDER,N Callan,C W Chang,129,1056,8,7,5 5 4,0:57.76,70,
5,6,GALA NIGHT,Z Purton,J Moore,120,1178,7,7-1/2,3 4 5,0:57.83,16,
6,1,SHADOW BREAKER,H N Wong,C W Chang,126,1009,6,7-3/4,6 7 6,0:57.88,28,
7,2,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1157,4,8,4 3 7,0:57.93,18,
8,4,BABY DRAGON,U Rispoli,Y S Tsui,120,1028,1,15-3/4,8 8 8,0:59.15,56,
