1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,10,RICHCITY FORTUNE,H T Mo,K H Ting,112,1127,13,-,1 1 1,1:10.24,12,
2,8,GREAT SON,M F Poon,L Ho,117,1036,8,1/2,2 2 2,1:10.34,9.5,
3,11,PADDINGTON,G van Niekerk,W Y So,115,1114,3,1-1/2,5 4 3,1:10.50,12,
4,5,M REBORN,S de Sousa,C H Yip,127,1166,2,1-3/4,4 3 4,1:10.53,2.1,
5,9,HIDDEN SPIRIT,M Chadwick,P O'Sullivan,117,1149,9,2-1/2,8 6 5,1:10.66,55,
6,3,NASHASHUK,J Moreira,J Size,129,1066,12,2-3/4,12 9 6,1:10.69,20,
7,12,COUR VALANT,A Badel,K L Man,114,1063,5,3,7 7 7,1:10.70,18,
8,2,INDIGENOUS STAR,M Harley,P F Yiu,130,1040,11,3-1/4,9 10 8,1:10.76,12,
9,4,ROCKAGE,K Teetan,F C Lor,129,1000,7,3-3/4,11 11 9,1:10.84,13,
10,6,SOCCER BRAVE,A Sanna,D E Ferraris,127,1041,6,6,10 13 10,1:11.20,64,
11,1,KEEP WINNING,H N Wong,C W Chang,130,1115,1,8-1/2,13 12 11,1:11.58,110,
12,13,GOBI STORM,M L Yeung,T P Yung,113,1154,4,10-1/4,3 5 12,1:11.86,8.4,
13,7,ROCHFORD,N Callan,L Ho,122,1198,10,14,6 8 13,1:12.49,15,
