1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,14,CARE FREE PRINCE,C Wong,K L Man,108,1179,13,-,1 1 1 1,1:22.65,17,
2,2,PICKEN,J Moreira,J Size,133,1164,11,NOSE,2 2 2 2,1:22.65,2.3,
3,11,EMPIRE STAR,D Whyte,J Moore,123,1117,1,1-1/4,8 6 5 3,1:22.84,9.4,
4,3,SAM'S LOVE,Z Purton,C H Yip,131,1063,12,3,13 12 10 4,1:23.15,7.8,
5,10,DESTIN,S Clipperton,P O'Sullivan,123,1130,8,4-1/2,3 5 3 5,1:23.36,24,
6,6,WIN WIN,M L Yeung,T P Yung,124,1142,6,4-1/2,7 7 9 6,1:23.37,14,
7,4,GUY DRAGON,C Schofield,W Y So,130,1144,10,5,9 10 11 7,1:23.44,13,
8,1,KHAKI,S de Sousa,A T Millard,133,1180,14,5-1/2,11 14 13 8,1:23.52,6.8,
9,7,ENJOY LIFE,K Teetan,Y S Tsui,125,1132,5,5-3/4,14 13 12 9,1:23.55,11,
10,5,RULETHEROOST,A Sanna,F C Lor,129,1127,2,5-3/4,4 3 4 10,1:23.58,38,
11,8,WICKER,N Callan,R Gibson,125,1158,7,6-1/2,10 9 6 11,1:23.69,294,
12,12,BLIZZING AWAY,C Murray,P F Yiu,120,1174,3,10-1/2,6 8 7 12,1:24.33,164,
13,13,BIG BULLY,M F Poon,D J Hall,112,1121,9,12-1/2,12 11 14 13,1:24.65,44,
14,9,SUREWIN,K C Leung,C W Chang,124,1246,4,18-1/2,5 4 8 14,1:25.61,201,
