1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,GARLIC YEAH,J Moreira,C H Yip,120,983,3,-,1 1 1 1 1,2:03.48,4.9,
2,10,LE PANACHE,S de Sousa,W Y So,118,1099,9,N,10 10 7 7 2,2:03.53,7.7,
3,3,CLEMENT LEGEND,K Teetan,C S Shum,128,1119,8,3/4,6 6 6 6 3,2:03.62,3.2,
4,6,ISHVARA,M L Yeung,T P Yung,122,1097,5,1-3/4,5 5 5 4 4,2:03.77,11,
5,2,AMAZING AGILITY,H N Wong,L Ho,127,985,1,2-1/4,8 8 9 9 5,2:03.82,15,
6,1,BRING IT ON,C Wong,C H Yip,125,1123,4,4,4 4 4 2 6,2:04.12,8.6,
7,5,FULL OF CHANCES,G van Niekerk,T P Yung,124,1065,6,4-3/4,7 7 8 8 7,2:04.22,9.3,
8,8,HAPPY ROCKY,Z Purton,C W Chang,120,1102,10,7-1/4,9 9 10 10 8,2:04.63,7.4,
9,9,SWOT WINDICATOR,C Y Ho,D J Hall,117,1059,7,8-1/4,2 2 2 3 9,2:04.79,26,
10,4,CHATER THUNDER,A Badel,D E Ferraris,125,1028,2,9,3 3 3 5 10,2:04.93,62,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,GARLIC YEAH,J Moreira,C H Yip,120,983,3,-,1 1 1 1 1,2:03.48,4.9,
2,10,LE PANACHE,S de Sousa,W Y So,118,1099,9,N,10 10 7 7 2,2:03.53,7.7,
3,3,CLEMENT LEGEND,K Teetan,C S Shum,128,1119,8,3/4,6 6 6 6 3,2:03.62,3.2,
4,6,ISHVARA,M L Yeung,T P Yung,122,1097,5,1-3/4,5 5 5 4 4,2:03.77,11,
5,2,AMAZING AGILITY,H N Wong,L Ho,127,985,1,2-1/4,8 8 9 9 5,2:03.82,15,
6,1,BRING IT ON,C Wong,C H Yip,125,1123,4,4,4 4 4 2 6,2:04.12,8.6,
7,5,FULL OF CHANCES,G van Niekerk,T P Yung,124,1065,6,4-3/4,7 7 8 8 7,2:04.22,9.3,
8,8,HAPPY ROCKY,Z Purton,C W Chang,120,1102,10,7-1/4,9 9 10 10 8,2:04.63,7.4,
9,9,SWOT WINDICATOR,C Y Ho,D J Hall,117,1059,7,8-1/4,2 2 2 3 9,2:04.79,26,
10,4,CHATER THUNDER,A Badel,D E Ferraris,125,1028,2,9,3 3 3 5 10,2:04.93,62,
