1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,SMART CHARADE,Y Iwata,W Y So,128,1162,14,-,14 14 14 1,1:22.35,22,
2,7,NOBLE DE LOVE,H Bowman,F C Lor,125,1206,2,1-3/4,7 4 3 2,1:22.65,9.5,
3,8,DESTIN,S Clipperton,P O'Sullivan,124,1141,9,3-1/4,11 12 10 3,1:22.89,36,
4,1,VICTORY POWER,H T Mo,R Gibson,128,1123,12,3-3/4,2 2 2 4,1:22.95,37,
5,14,BINGO HERO,C Schofield,Y S Tsui,117,1264,6,3-3/4,13 13 13 5,1:22.96,76,
6,4,CITY LEGEND,Z Purton,T P Yung,130,1008,3,4-1/4,12 11 11 6,1:23.03,6.5,
7,2,CHARIZARD,U Rispoli,D E Ferraris,132,1019,5,5,5 6 6 7,1:23.13,4.1,
8,12,HAPPY WARRIOR,D Whyte,J Moore,117,1084,11,5,4 3 5 8,1:23.15,11,
9,11,SUPREME WITNESS,K Teetan,A S Cruz,119,1269,10,6-3/4,1 1 1 9,1:23.42,8.4,
10,10,RED HORSE,M Barzalona,C H Yip,122,1200,8,7-1/2,6 9 9 10,1:23.55,43,
11,9,PICKEN,J Moreira,J Size,124,1167,4,8,10 8 8 11,1:23.65,3.8,
12,13,SPEEDY DRAGON,K C Leung,D J Hall,117,1055,1,8-1/2,8 5 4 12,1:23.72,112,
13,6,UNIVERSAL GO GO,C Y Ho,K W Lui,125,1104,7,8-1/2,3 7 7 13,1:23.73,11,
14,3,HAPPY GUY,N Callan,L Ho,131,1109,13,13,9 10 12 14,1:24.42,114,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,SMART CHARADE,Y Iwata,W Y So,128,1162,14,-,14 14 14 1,1:22.35,22,
2,7,NOBLE DE LOVE,H Bowman,F C Lor,125,1206,2,1-3/4,7 4 3 2,1:22.65,9.5,
3,8,DESTIN,S Clipperton,P O'Sullivan,124,1141,9,3-1/4,11 12 10 3,1:22.89,36,
4,1,VICTORY POWER,H T Mo,R Gibson,128,1123,12,3-3/4,2 2 2 4,1:22.95,37,
5,14,BINGO HERO,C Schofield,Y S Tsui,117,1264,6,3-3/4,13 13 13 5,1:22.96,76,
6,4,CITY LEGEND,Z Purton,T P Yung,130,1008,3,4-1/4,12 11 11 6,1:23.03,6.5,
7,2,CHARIZARD,U Rispoli,D E Ferraris,132,1019,5,5,5 6 6 7,1:23.13,4.1,
8,12,HAPPY WARRIOR,D Whyte,J Moore,117,1084,11,5,4 3 5 8,1:23.15,11,
9,11,SUPREME WITNESS,K Teetan,A S Cruz,119,1269,10,6-3/4,1 1 1 9,1:23.42,8.4,
10,10,RED HORSE,M Barzalona,C H Yip,122,1200,8,7-1/2,6 9 9 10,1:23.55,43,
11,9,PICKEN,J Moreira,J Size,124,1167,4,8,10 8 8 11,1:23.65,3.8,
12,13,SPEEDY DRAGON,K C Leung,D J Hall,117,1055,1,8-1/2,8 5 4 12,1:23.72,112,
13,6,UNIVERSAL GO GO,C Y Ho,K W Lui,125,1104,7,8-1/2,3 7 7 13,1:23.73,11,
14,3,HAPPY GUY,N Callan,L Ho,131,1109,13,13,9 10 12 14,1:24.42,114,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,SMART CHARADE,Y Iwata,W Y So,128,1162,14,-,14 14 14 1,1:22.35,22,
2,7,NOBLE DE LOVE,H Bowman,F C Lor,125,1206,2,1-3/4,7 4 3 2,1:22.65,9.5,
3,8,DESTIN,S Clipperton,P O'Sullivan,124,1141,9,3-1/4,11 12 10 3,1:22.89,36,
4,1,VICTORY POWER,H T Mo,R Gibson,128,1123,12,3-3/4,2 2 2 4,1:22.95,37,
5,14,BINGO HERO,C Schofield,Y S Tsui,117,1264,6,3-3/4,13 13 13 5,1:22.96,76,
6,4,CITY LEGEND,Z Purton,T P Yung,130,1008,3,4-1/4,12 11 11 6,1:23.03,6.5,
7,2,CHARIZARD,U Rispoli,D E Ferraris,132,1019,5,5,5 6 6 7,1:23.13,4.1,
8,12,HAPPY WARRIOR,D Whyte,J Moore,117,1084,11,5,4 3 5 8,1:23.15,11,
9,11,SUPREME WITNESS,K Teetan,A S Cruz,119,1269,10,6-3/4,1 1 1 9,1:23.42,8.4,
10,10,RED HORSE,M Barzalona,C H Yip,122,1200,8,7-1/2,6 9 9 10,1:23.55,43,
11,9,PICKEN,J Moreira,J Size,124,1167,4,8,10 8 8 11,1:23.65,3.8,
12,13,SPEEDY DRAGON,K C Leung,D J Hall,117,1055,1,8-1/2,8 5 4 12,1:23.72,112,
13,6,UNIVERSAL GO GO,C Y Ho,K W Lui,125,1104,7,8-1/2,3 7 7 13,1:23.73,11,
14,3,HAPPY GUY,N Callan,L Ho,131,1109,13,13,9 10 12 14,1:24.42,114,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,SMART CHARADE,Y Iwata,W Y So,128,1162,14,-,14 14 14 1,1:22.35,22,
2,7,NOBLE DE LOVE,H Bowman,F C Lor,125,1206,2,1-3/4,7 4 3 2,1:22.65,9.5,
3,8,DESTIN,S Clipperton,P O'Sullivan,124,1141,9,3-1/4,11 12 10 3,1:22.89,36,
4,1,VICTORY POWER,H T Mo,R Gibson,128,1123,12,3-3/4,2 2 2 4,1:22.95,37,
5,14,BINGO HERO,C Schofield,Y S Tsui,117,1264,6,3-3/4,13 13 13 5,1:22.96,76,
6,4,CITY LEGEND,Z Purton,T P Yung,130,1008,3,4-1/4,12 11 11 6,1:23.03,6.5,
7,2,CHARIZARD,U Rispoli,D E Ferraris,132,1019,5,5,5 6 6 7,1:23.13,4.1,
8,12,HAPPY WARRIOR,D Whyte,J Moore,117,1084,11,5,4 3 5 8,1:23.15,11,
9,11,SUPREME WITNESS,K Teetan,A S Cruz,119,1269,10,6-3/4,1 1 1 9,1:23.42,8.4,
10,10,RED HORSE,M Barzalona,C H Yip,122,1200,8,7-1/2,6 9 9 10,1:23.55,43,
11,9,PICKEN,J Moreira,J Size,124,1167,4,8,10 8 8 11,1:23.65,3.8,
12,13,SPEEDY DRAGON,K C Leung,D J Hall,117,1055,1,8-1/2,8 5 4 12,1:23.72,112,
13,6,UNIVERSAL GO GO,C Y Ho,K W Lui,125,1104,7,8-1/2,3 7 7 13,1:23.73,11,
14,3,HAPPY GUY,N Callan,L Ho,131,1109,13,13,9 10 12 14,1:24.42,114,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,SMART CHARADE,Y Iwata,W Y So,128,1162,14,-,14 14 14 1,1:22.35,22,
2,7,NOBLE DE LOVE,H Bowman,F C Lor,125,1206,2,1-3/4,7 4 3 2,1:22.65,9.5,
3,8,DESTIN,S Clipperton,P O'Sullivan,124,1141,9,3-1/4,11 12 10 3,1:22.89,36,
4,1,VICTORY POWER,H T Mo,R Gibson,128,1123,12,3-3/4,2 2 2 4,1:22.95,37,
5,14,BINGO HERO,C Schofield,Y S Tsui,117,1264,6,3-3/4,13 13 13 5,1:22.96,76,
6,4,CITY LEGEND,Z Purton,T P Yung,130,1008,3,4-1/4,12 11 11 6,1:23.03,6.5,
7,2,CHARIZARD,U Rispoli,D E Ferraris,132,1019,5,5,5 6 6 7,1:23.13,4.1,
8,12,HAPPY WARRIOR,D Whyte,J Moore,117,1084,11,5,4 3 5 8,1:23.15,11,
9,11,SUPREME WITNESS,K Teetan,A S Cruz,119,1269,10,6-3/4,1 1 1 9,1:23.42,8.4,
10,10,RED HORSE,M Barzalona,C H Yip,122,1200,8,7-1/2,6 9 9 10,1:23.55,43,
11,9,PICKEN,J Moreira,J Size,124,1167,4,8,10 8 8 11,1:23.65,3.8,
12,13,SPEEDY DRAGON,K C Leung,D J Hall,117,1055,1,8-1/2,8 5 4 12,1:23.72,112,
13,6,UNIVERSAL GO GO,C Y Ho,K W Lui,125,1104,7,8-1/2,3 7 7 13,1:23.73,11,
14,3,HAPPY GUY,N Callan,L Ho,131,1109,13,13,9 10 12 14,1:24.42,114,
